Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
5553957443,2,631,725,2016-04-23T00:00:00Z
5553957443,2,553,640,2016-04-24T00:00:00Z
5553957443,1,433,468,2016-04-25T00:00:00Z
5553957443,1,412,453,2016-04-26T00:00:00Z
5553957443,1,347,391,2016-04-27T00:00:00Z
5553957443,1,421,457,2016-04-28T00:00:00Z
5553957443,1,450,495,2016-04-29T00:00:00Z
5553957443,2,775,843,2016-04-30T00:00:00Z
5553957443,2,622,686,2016-05-01T00:00:00Z
5553957443,1,409,471,2016-05-02T00:00:00Z
5553957443,1,380,429,2016-05-03T00:00:00Z
5553957443,1,447,470,2016-05-04T00:00:00Z
5553957443,1,419,464,2016-05-05T00:00:00Z
5553957443,1,400,434,2016-05-06T00:00:00Z
5553957443,1,442,470,2016-05-07T00:00:00Z
5553957443,1,568,608,2016-05-08T00:00:00Z
5553957443,1,453,494,2016-05-09T00:00:00Z
5553957443,1,418,443,2016-05-10T00:00:00Z
5553957443,1,463,486,2016-05-11T00:00:00Z
5553957443,1,438,475,2016-05-12T00:00:00Z
5577150313,1,419,438,2016-04-12T00:00:00Z
5577150313,1,432,458,2016-04-13T00:00:00Z
5577150313,1,477,497,2016-04-14T00:00:00Z
5577150313,1,392,413,2016-04-15T00:00:00Z
5577150313,1,406,445,2016-04-16T00:00:00Z
5577150313,1,549,583,2016-04-17T00:00:00Z
5577150313,1,527,553,2016-04-18T00:00:00Z
5577150313,1,449,465,2016-04-19T00:00:00Z
5577150313,1,447,480,2016-04-20T00:00:00Z
5577150313,1,414,437,2016-04-21T00:00:00Z
5577150313,1,338,366,2016-04-22T00:00:00Z
5577150313,1,384,402,2016-04-23T00:00:00Z
5577150313,1,543,615,2016-04-24T00:00:00Z
5577150313,1,421,461,2016-04-25T00:00:00Z
5577150313,1,354,377,2016-04-26T00:00:00Z
5577150313,1,424,452,2016-04-27T00:00:00Z
5577150313,1,361,372,2016-04-28T00:00:00Z
5577150313,1,459,485,2016-04-29T00:00:00Z
5577150313,1,412,433,2016-04-30T00:00:00Z
5577150313,1,379,398,2016-05-01T00:00:00Z
5577150313,2,525,553,2016-05-02T00:00:00Z
5577150313,1,508,543,2016-05-03T00:00:00Z
5577150313,1,603,634,2016-05-04T00:00:00Z
5577150313,1,74,78,2016-05-05T00:00:00Z
5577150313,1,504,562,2016-05-10T00:00:00Z
5577150313,1,431,476,2016-05-11T00:00:00Z
6117666160,1,380,398,2016-04-16T00:00:00Z
6117666160,2,336,350,2016-04-17T00:00:00Z
6117666160,2,493,510,2016-04-18T00:00:00Z
6117666160,1,465,492,2016-04-19T00:00:00Z
6117666160,1,474,502,2016-04-20T00:00:00Z
6117666160,1,508,550,2016-04-21T00:00:00Z
6117666160,1,480,546,2016-04-22T00:00:00Z
6117666160,1,492,539,2016-04-23T00:00:00Z
6117666160,1,353,367,2016-04-24T00:00:00Z
6117666160,1,542,557,2016-04-27T00:00:00Z
6117666160,1,393,416,2016-04-28T00:00:00Z
6117666160,1,600,636,2016-04-29T00:00:00Z
6117666160,1,507,575,2016-05-01T00:00:00Z
6117666160,1,392,415,2016-05-05T00:00:00Z
6117666160,2,658,698,2016-05-06T00:00:00Z
6117666160,2,498,507,2016-05-07T00:00:00Z
6117666160,1,555,603,2016-05-08T00:00:00Z
6117666160,1,492,522,2016-05-09T00:00:00Z
6775888955,1,235,260,2016-04-13T00:00:00Z
6775888955,1,423,441,2016-04-14T00:00:00Z
6775888955,1,391,406,2016-04-15T00:00:00Z
6962181067,1,366,387,2016-04-12T00:00:00Z
6962181067,3,630,679,2016-04-13T00:00:00Z
6962181067,2,508,535,2016-04-14T00:00:00Z
6962181067,1,370,386,2016-04-15T00:00:00Z
6962181067,1,357,366,2016-04-16T00:00:00Z
6962181067,1,427,446,2016-04-17T00:00:00Z
6962181067,1,442,458,2016-04-18T00:00:00Z
6962181067,1,476,535,2016-04-19T00:00:00Z
6962181067,1,418,424,2016-04-20T00:00:00Z
6962181067,1,451,457,2016-04-21T00:00:00Z
6962181067,1,425,435,2016-04-22T00:00:00Z
6962181067,1,528,546,2016-04-23T00:00:00Z
6962181067,1,511,514,2016-04-24T00:00:00Z
6962181067,1,400,415,2016-04-25T00:00:00Z
6962181067,1,441,446,2016-04-26T00:00:00Z
6962181067,1,455,467,2016-04-27T00:00:00Z
6962181067,1,440,453,2016-04-28T00:00:00Z
6962181067,1,433,447,2016-04-29T00:00:00Z
6962181067,1,422,424,2016-04-30T00:00:00Z
6962181067,1,411,426,2016-05-01T00:00:00Z
6962181067,1,466,482,2016-05-02T00:00:00Z
6962181067,1,394,418,2016-05-03T00:00:00Z
6962181067,1,442,455,2016-05-04T00:00:00Z
6962181067,1,467,491,2016-05-05T00:00:00Z
6962181067,1,443,462,2016-05-06T00:00:00Z
6962181067,1,298,334,2016-05-07T00:00:00Z
6962181067,1,541,569,2016-05-08T00:00:00Z
6962181067,1,489,497,2016-05-09T00:00:00Z
6962181067,1,469,481,2016-05-10T00:00:00Z
6962181067,1,452,480,2016-05-11T00:00:00Z
6962181067,1,516,535,2016-05-12T00:00:00Z
7007744171,1,79,82,2016-04-16T00:00:00Z
7007744171,1,58,61,2016-05-01T00:00:00Z
7086361926,1,514,525,2016-04-12T00:00:00Z
7086361926,1,451,465,2016-04-13T00:00:00Z
7086361926,1,472,476,2016-04-14T00:00:00Z
